id|lat|lon|iso country|poly country|link
890441579|Granada|37.178055555|-3.600833333|CO|ES|https://whosonfirst.mapzen.com/spelunker/id/890441579/
890442123|Valencia|39.466666666|-0.375|VE|ES|https://whosonfirst.mapzen.com/spelunker/id/890442123/
890440987|San Antonio|29.428611111|-98.493333333|HN|US|https://whosonfirst.mapzen.com/spelunker/id/890440987/
890444145|Armenia|40.383333|44.95|PH|AM|https://whosonfirst.mapzen.com/spelunker/id/890444145/
890445017|Albania|41|20|CO|AL|https://whosonfirst.mapzen.com/spelunker/id/890445017/
890444409|Mali|17|-4|GN|ML|https://whosonfirst.mapzen.com/spelunker/id/890444409/
890443613|Valencia|39.466666666|-0.375|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890443613/
890444811|Colombia|3.816667|-73.916667|CU|CO|https://whosonfirst.mapzen.com/spelunker/id/890444811/
890443945|San Antonio|29.428611111|-98.493333333|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890443945/
101945805|Aruaru|59.385833|25.155833|BR|EE|https://whosonfirst.mapzen.com/spelunker/id/101945805/
890450189|Zaragoza|41.65|-0.883333333|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890450189/
890450221|Valencia|39.466666666|-0.375|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890450221/
890450219|Valencia|39.466666666|-0.375|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890450219/
101772383|Mons|50.454722|3.951944|FR|BE|https://whosonfirst.mapzen.com/spelunker/id/101772383/
890451091|Los Angeles|34.05|-118.25|PH|US|https://whosonfirst.mapzen.com/spelunker/id/890451091/
890449741|Barcelona|41.3825|2.176944444|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890449741/
890450657|Salamanca|40.965|-5.663888888|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890450657/
890450661|Sagunto|39.676388888|-0.273333333|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890450661/
101772629|Mons|50.454722|3.951944|FR|BE|https://whosonfirst.mapzen.com/spelunker/id/101772629/
890451443|Alicante|38.345277777|-0.483055555|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/890451443/
890451689|Kabuna Village|58.729444444|22.540277777|KI|EE|https://whosonfirst.mapzen.com/spelunker/id/890451689/
101772919|Serres|41.083333|23.55|FR|GR|https://whosonfirst.mapzen.com/spelunker/id/101772919/
421189365|Antequera|37.018365|-4.559665|PH|ES|https://whosonfirst.mapzen.com/spelunker/id/421189365/
421189735|San Antonio|29.428611|-98.493333|HN|US|https://whosonfirst.mapzen.com/spelunker/id/421189735/
101776441|San Antonio|29.428611|-98.493333|ES|US|https://whosonfirst.mapzen.com/spelunker/id/101776441/
101777363|Burgos|42.340833|-3.699722|IT|ES|https://whosonfirst.mapzen.com/spelunker/id/101777363/
101778251|Casa Branca|-21.773889|-47.085833|PT|BR|https://whosonfirst.mapzen.com/spelunker/id/101778251/
890457365|Waterford|52.2583|-7.119|CA|IE|https://whosonfirst.mapzen.com/spelunker/id/890457365/
101776885|San Clemente|33.437778|-117.620278|ES|US|https://whosonfirst.mapzen.com/spelunker/id/101776885/
